run_tag,model_name,video_name,sample_index,source_frame_id,mean_confidence,active_kpts,frame_jitter,unstable
20260528_230446,v11s_76.pt,2752855.mp4,0,1,0.967802,17,0.000000,0
20260528_230446,v11s_76.pt,2752855.mp4,1,3,0.969727,17,0.016982,0
20260528_230446,v11s_76.pt,2752855.mp4,2,5,0.967831,17,0.016171,0
20260528_230446,v11s_76.pt,2752855.mp4,3,7,0.977395,17,0.019902,0
20260528_230446,v11s_76.pt,2752855.mp4,4,9,0.976218,17,0.021678,0
20260528_230446,v11s_76.pt,2752855.mp4,5,11,0.977510,17,0.014341,0
20260528_230446,v11s_76.pt,2752855.mp4,6,13,0.980153,17,0.020433,0
20260528_230446,v11s_76.pt,2752855.mp4,7,15,0.982307,17,0.016339,0
20260528_230446,v11s_76.pt,2752855.mp4,8,17,0.985064,17,0.013854,0
20260528_230446,v11s_76.pt,2752855.mp4,9,19,0.985179,17,0.029675,0
20260528_230446,v11s_76.pt,2752855.mp4,10,21,0.986299,17,0.017537,0
20260528_230446,v11s_76.pt,2752855.mp4,11,23,0.986874,17,0.016506,0
20260528_230446,v11s_76.pt,2752855.mp4,12,25,0.987218,17,0.025881,0
20260528_230446,v11s_76.pt,2752855.mp4,13,27,0.986299,17,0.025670,0
20260528_230446,v11s_76.pt,2752855.mp4,14,29,0.986874,17,0.010338,0
20260528_230446,v11s_76.pt,2752855.mp4,15,31,0.988224,17,0.027542,0
20260528_230446,v11s_76.pt,2752855.mp4,16,33,0.990234,17,0.027161,0
20260528_230446,v11s_76.pt,2752855.mp4,17,35,0.990665,17,0.045544,0
20260528_230446,v11s_76.pt,2752855.mp4,18,37,0.990234,17,0.036840,0
20260528_230446,v11s_76.pt,2752855.mp4,19,39,0.989057,17,0.020507,0
20260528_230446,v11s_76.pt,2752855.mp4,20,41,0.987649,17,0.013048,0
20260528_230446,v11s_76.pt,2752855.mp4,21,43,0.988511,17,0.034877,0
20260528_230446,v11s_76.pt,2752855.mp4,22,45,0.986874,17,0.029864,0
20260528_230446,v11s_76.pt,2752855.mp4,23,47,0.980526,17,0.016740,0
20260528_230446,v11s_76.pt,2752855.mp4,24,49,0.984490,17,0.013944,0
20260528_230446,v11s_76.pt,2752855.mp4,25,51,0.987994,17,0.024597,0
20260528_230446,v11s_76.pt,2752855.mp4,26,53,0.986127,17,0.023619,0
20260528_230446,v11s_76.pt,2752855.mp4,27,55,0.985265,17,0.029273,0
